name,album,year,artist,featured_artists,track_number,tracks_on_album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,album_image_url
Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,2017,Wu-Tang Clan,RZA,1,18,1,91080,32,0.48,0.718,1,-5.304,0,0.402,0.0182,0.00196,0.177,0.376,75.086,audio_features,2EsC5nxXhoMrOsYbt59VUM,spotify:track:2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/tracks/2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/audio-analysis/2EsC5nxXhoMrOsYbt59VUM,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,2017,Wu-Tang Clan,Redman,2,18,1,202667,46,0.846,0.875,7,-3.575,1,0.22,0.000621,0.000239,0.644,0.198,89.966,audio_features,2RQ47bAanXMoCKIIUn5Kxn,spotify:track:2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/tracks/2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/audio-analysis/2RQ47bAanXMoCKIIUn5Kxn,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,2017,Wu-Tang Clan,Raekwon,3,18,1,222311,35,0.742,0.88,7,-4.063,0,0.129,0.00224,0,0.342,0.401,94.997,audio_features,2B6lQV5InRy13vd7wl26jg,spotify:track:2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/tracks/2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/audio-analysis/2B6lQV5InRy13vd7wl26jg,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Famous Fighters (Skit),The Saga Continues,2017,Wu-Tang Clan,,4,18,1,80607,31,0.901,0.877,8,-5.747,1,0.286,0.0656,0.136,0.357,0.438,102.993,audio_features,09zHR2ttyr84ibzpBVrmNu,spotify:track:09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/tracks/09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/audio-analysis/09zHR2ttyr84ibzpBVrmNu,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,2017,Wu-Tang Clan,Method Man,5,18,1,233847,39,0.704,0.727,4,-5.341,0,0.127,0.0513,5.49E-06,0.24,0.597,78.023,audio_features,5l3C7CgpiOoGF6B8qzbOR3,spotify:track:5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/tracks/5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/audio-analysis/5l3C7CgpiOoGF6B8qzbOR3,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,2017,Wu-Tang Clan,Method Man,6,18,1,249605,41,0.661,0.823,8,-3.375,0,0.303,0.0426,0,0.141,0.435,89.809,audio_features,549Vf052y5gI5Ix6o57NPL,spotify:track:549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/tracks/549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/audio-analysis/549Vf052y5gI5Ix6o57NPL,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,2017,Wu-Tang Clan,Ghostface Killah,7,18,1,45250,29,0.468,0.754,8,-2.827,1,0.224,0.47,0,0.198,0.8,114.873,audio_features,7yBCiwqSQN3gfcpnJxKGU2,spotify:track:7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/tracks/7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/audio-analysis/7yBCiwqSQN3gfcpnJxKGU2,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,2017,Wu-Tang Clan,RZA,8,18,1,298999,40,0.683,0.843,10,-3.012,0,0.252,0.0436,0,0.183,0.581,78.074,audio_features,6I22qil0SJzTpAMuRQXOWF,spotify:track:6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/tracks/6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/audio-analysis/6I22qil0SJzTpAMuRQXOWF,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
People Say (feat. Redman),The Saga Continues,2017,Wu-Tang Clan,Redman,9,18,1,264392,50,0.648,0.857,1,-4.631,1,0.352,0.098,0,0.158,0.608,89.713,audio_features,0EIn2Ntcl8IPA5pqI5DqUx,spotify:track:0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/tracks/0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/audio-analysis/0EIn2Ntcl8IPA5pqI5DqUx,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Family (Skit),The Saga Continues,2017,Wu-Tang Clan,,10,18,1,66938,29,0.599,0.646,4,-6.683,0,0.235,0.16,0,0.322,0.509,100.134,audio_features,20zlDsTnYPpeUsjnZHJb8J,spotify:track:20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/tracks/20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/audio-analysis/20zlDsTnYPpeUsjnZHJb8J,1,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Why Why Why (feat. RZA and Swnkah),The Saga Continues,2017,Wu-Tang Clan,RZA,11,18,1,240000,33,0.78,0.82,4,-4.25,0,0.282,0.0122,0.0117,0.104,0.403,168.067,audio_features,343gWK5XGOzFLlognVIE1Y,spotify:track:343gWK5XGOzFLlognVIE1Y,https://api.spotify.com/v1/tracks/343gWK5XGOzFLlognVIE1Y,https://api.spotify.com/v1/audio-analysis/343gWK5XGOzFLlognVIE1Y,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
If What You Say Is True (feat. Streetlife),The Saga Continues,2017,Wu-Tang Clan,Streetlife,13,18,1,235498,30,0.56,0.895,9,-4.737,1,0.369,0.00124,0.000214,0.723,0.277,180.447,audio_features,4Li7C5RBkDNEDR9dwyRFo9,spotify:track:4Li7C5RBkDNEDR9dwyRFo9,https://api.spotify.com/v1/tracks/4Li7C5RBkDNEDR9dwyRFo9,https://api.spotify.com/v1/audio-analysis/4Li7C5RBkDNEDR9dwyRFo9,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Saga (Skit) [feat. RZA,The Saga Continues,2017,Wu-Tang Clan,RZA,14,18,1,58041,28,0.546,0.898,2,-4.417,1,0.36,0.0347,0,0.407,0.559,148.683,audio_features,2Optu4XTxBZIi0VEZWjcQi,spotify:track:2Optu4XTxBZIi0VEZWjcQi,https://api.spotify.com/v1/tracks/2Optu4XTxBZIi0VEZWjcQi,https://api.spotify.com/v1/audio-analysis/2Optu4XTxBZIi0VEZWjcQi,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,2017,Wu-Tang Clan,Method Man,15,18,1,92308,34,0.64,0.833,11,-3.151,0,0.348,0.00483,3.62E-06,0.209,0.534,99.967,audio_features,2z5EyrPaPaYEJqKxRI4LZE,spotify:track:2z5EyrPaPaYEJqKxRI4LZE,https://api.spotify.com/v1/tracks/2z5EyrPaPaYEJqKxRI4LZE,https://api.spotify.com/v1/audio-analysis/2z5EyrPaPaYEJqKxRI4LZE,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,2017,Wu-Tang Clan,RZA,16,18,1,284000,37,0.699,0.763,4,-5.664,0,0.247,0.000548,0.0325,0.122,0.232,191.932,audio_features,0jiRTUWCKXYwIQjb8iTC8a,spotify:track:0jiRTUWCKXYwIQjb8iTC8a,https://api.spotify.com/v1/tracks/0jiRTUWCKXYwIQjb8iTC8a,https://api.spotify.com/v1/audio-analysis/0jiRTUWCKXYwIQjb8iTC8a,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Message,The Saga Continues,2017,Wu-Tang Clan,,17,18,1,125191,29,0.72,0.799,1,-4.206,1,0.164,0.0471,0,0.493,0.649,157.467,audio_features,70ClasqnO2Mo2K2rgiHYiF,spotify:track:70ClasqnO2Mo2K2rgiHYiF,https://api.spotify.com/v1/tracks/70ClasqnO2Mo2K2rgiHYiF,https://api.spotify.com/v1/audio-analysis/70ClasqnO2Mo2K2rgiHYiF,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
The Saga Continues Outro (feat. RZA),The Saga Continues,2017,Wu-Tang Clan,RZA,18,18,1,45352,27,0.701,0.861,4,-4.948,1,0.27,0.18,0,0.268,0.528,149.945,audio_features,1hfmtLvj2hd5WJ04DxR1GG,spotify:track:1hfmtLvj2hd5WJ04DxR1GG,https://api.spotify.com/v1/tracks/1hfmtLvj2hd5WJ04DxR1GG,https://api.spotify.com/v1/audio-analysis/1hfmtLvj2hd5WJ04DxR1GG,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Perth,Bon Iver,2011,Bon Iver,,1,10,0,262080,53,0.468,0.453,0,-14.463,0,0.0464,0.855,0.552,0.326,0.0679,119.932,audio_features,6TVs7Lap6ZcrpZk1xfOgtv,spotify:track:6TVs7Lap6ZcrpZk1xfOgtv,https://api.spotify.com/v1/tracks/6TVs7Lap6ZcrpZk1xfOgtv,https://api.spotify.com/v1/audio-analysis/6TVs7Lap6ZcrpZk1xfOgtv,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
"Minnesota, WI",Bon Iver,2011,Bon Iver,,2,10,0,232440,50,0.563,0.346,0,-15.504,0,0.0428,0.968,0.233,0.115,0.502,119.936,audio_features,4cawaZVzboa3UYqgR4kalj,spotify:track:4cawaZVzboa3UYqgR4kalj,https://api.spotify.com/v1/tracks/4cawaZVzboa3UYqgR4kalj,https://api.spotify.com/v1/audio-analysis/4cawaZVzboa3UYqgR4kalj,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Holocene,Bon Iver,2011,Bon Iver,,3,10,0,336613,69,0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989,audio_features,4fbvXwMTXPWaFyaMWUm9CR,spotify:track:4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/tracks/4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/audio-analysis/4fbvXwMTXPWaFyaMWUm9CR,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Towers,Bon Iver,2011,Bon Iver,,4,10,0,188040,55,0.35,0.334,9,-12.412,1,0.0323,0.945,0.703,0.273,0.131,91.592,audio_features,5rP9Weh1uFtlyRGqnzyQnd,spotify:track:5rP9Weh1uFtlyRGqnzyQnd,https://api.spotify.com/v1/tracks/5rP9Weh1uFtlyRGqnzyQnd,https://api.spotify.com/v1/audio-analysis/5rP9Weh1uFtlyRGqnzyQnd,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Michicant,Bon Iver,2011,Bon Iver,,5,10,0,225733,51,0.235,0.162,8,-16.538,1,0.0316,0.927,0.204,0.104,0.0993,147.797,audio_features,0oirMI8pqPHJiJFTX1LhKh,spotify:track:0oirMI8pqPHJiJFTX1LhKh,https://api.spotify.com/v1/tracks/0oirMI8pqPHJiJFTX1LhKh,https://api.spotify.com/v1/audio-analysis/0oirMI8pqPHJiJFTX1LhKh,3,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
"Hinnom, TX",Bon Iver,2011,Bon Iver,,6,10,0,165013,48,0.671,0.195,9,-18.588,0,0.0526,0.972,0.55,0.0791,0.639,121.691,audio_features,5kiZpF6a7kxZLurZVSewtw,spotify:track:5kiZpF6a7kxZLurZVSewtw,https://api.spotify.com/v1/tracks/5kiZpF6a7kxZLurZVSewtw,https://api.spotify.com/v1/audio-analysis/5kiZpF6a7kxZLurZVSewtw,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Wash.,Bon Iver,2011,Bon Iver,,7,10,0,298587,59,0.31,0.145,0,-19.276,1,0.0303,0.99,0.275,0.076,0.323,162.808,audio_features,3g9mw4A8vdljOKgwrit88g,spotify:track:3g9mw4A8vdljOKgwrit88g,https://api.spotify.com/v1/tracks/3g9mw4A8vdljOKgwrit88g,https://api.spotify.com/v1/audio-analysis/3g9mw4A8vdljOKgwrit88g,3,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Calgary,Bon Iver,2011,Bon Iver,,8,10,0,250200,50,0.508,0.466,11,-11.504,1,0.035,0.923,0.169,0.622,0.0768,119.952,audio_features,4lGb7vjGqK8OZhXRozj0Go,spotify:track:4lGb7vjGqK8OZhXRozj0Go,https://api.spotify.com/v1/tracks/4lGb7vjGqK8OZhXRozj0Go,https://api.spotify.com/v1/audio-analysis/4lGb7vjGqK8OZhXRozj0Go,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
"Lisbon, OH",Bon Iver,2011,Bon Iver,,9,10,0,93360,46,0.17,0.0219,4,-26.439,1,0.0414,0.993,0.917,0.0873,0.0346,69.827,audio_features,159ld20LzWoNcdk5HmPjjW,spotify:track:159ld20LzWoNcdk5HmPjjW,https://api.spotify.com/v1/tracks/159ld20LzWoNcdk5HmPjjW,https://api.spotify.com/v1/audio-analysis/159ld20LzWoNcdk5HmPjjW,1,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Beth/Rest,Bon Iver,2011,Bon Iver,,10,10,0,316800,50,0.489,0.249,9,-12.812,1,0.0323,0.922,0.597,0.112,0.0507,128.171,audio_features,6UI6aabe8NSRgTVySHn6CP,spotify:track:6UI6aabe8NSRgTVySHn6CP,https://api.spotify.com/v1/tracks/6UI6aabe8NSRgTVySHn6CP,https://api.spotify.com/v1/audio-analysis/6UI6aabe8NSRgTVySHn6CP,4,https://i.scdn.co/image/ab67616d0000b2736e68b2cb5583d891095d8c21
Curtains Up - Skit,The Eminem Show,2002,Eminem,,1,20,1,29827,18,0.378,0.122,2,-19.785,1,0.036,0.00697,0.958,0.125,0.0313,81.519,audio_features,0ttF21hZCPw2merE3GsHcP,spotify:track:0ttF21hZCPw2merE3GsHcP,https://api.spotify.com/v1/tracks/0ttF21hZCPw2merE3GsHcP,https://api.spotify.com/v1/audio-analysis/0ttF21hZCPw2merE3GsHcP,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
White America,The Eminem Show,2002,Eminem,,2,20,1,324547,66,0.558,0.615,1,-5.641,1,0.229,0.0103,0,0.105,0.16,76.673,audio_features,15qrWkkYCfmtu1uRpGf48L,spotify:track:15qrWkkYCfmtu1uRpGf48L,https://api.spotify.com/v1/tracks/15qrWkkYCfmtu1uRpGf48L,https://api.spotify.com/v1/audio-analysis/15qrWkkYCfmtu1uRpGf48L,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Business,The Eminem Show,2002,Eminem,,3,20,1,251720,65,0.901,0.813,7,-4.509,1,0.199,0.0325,1.09E-05,0.144,0.502,96.442,audio_features,0x60P5taxdI5pcGbqbap6S,spotify:track:0x60P5taxdI5pcGbqbap6S,https://api.spotify.com/v1/tracks/0x60P5taxdI5pcGbqbap6S,https://api.spotify.com/v1/audio-analysis/0x60P5taxdI5pcGbqbap6S,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Cleanin' Out My Closet,The Eminem Show,2002,Eminem,,4,20,1,297840,71,0.908,0.758,9,-4.753,0,0.174,0.0687,0,0.0783,0.87,148.015,audio_features,7BMO7O7ImjV8HNTH74Tshv,spotify:track:7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/tracks/7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/audio-analysis/7BMO7O7ImjV8HNTH74Tshv,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Square Dance,The Eminem Show,2002,Eminem,,5,20,1,323720,60,0.763,0.675,5,-1.797,0,0.223,0.0307,0,0.0876,0.724,82,audio_features,27mgDrExPa3obPAYXd3yQg,spotify:track:27mgDrExPa3obPAYXd3yQg,https://api.spotify.com/v1/tracks/27mgDrExPa3obPAYXd3yQg,https://api.spotify.com/v1/audio-analysis/27mgDrExPa3obPAYXd3yQg,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
The Kiss - Skit,The Eminem Show,2002,Eminem,,6,20,1,75920,52,0.469,0.451,10,-13.949,0,0.404,0.193,1.62E-06,0.393,0.565,89.185,audio_features,2J3CYFUn6eAuHz5S9IKape,spotify:track:2J3CYFUn6eAuHz5S9IKape,https://api.spotify.com/v1/tracks/2J3CYFUn6eAuHz5S9IKape,https://api.spotify.com/v1/audio-analysis/2J3CYFUn6eAuHz5S9IKape,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Soldier,The Eminem Show,2002,Eminem,,7,20,1,226213,63,0.851,0.92,8,-2.989,1,0.201,0.0319,0.000525,0.128,0.545,94.516,audio_features,5QD28FqaM3jTfsqWwvRZwv,spotify:track:5QD28FqaM3jTfsqWwvRZwv,https://api.spotify.com/v1/tracks/5QD28FqaM3jTfsqWwvRZwv,https://api.spotify.com/v1/audio-analysis/5QD28FqaM3jTfsqWwvRZwv,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Say Goodbye Hollywood,The Eminem Show,2002,Eminem,,8,20,1,272840,59,0.717,0.664,9,-5.023,0,0.205,0.0529,0,0.096,0.717,94.331,audio_features,288e3FhmVuCqPmNEfAH0h6,spotify:track:288e3FhmVuCqPmNEfAH0h6,https://api.spotify.com/v1/tracks/288e3FhmVuCqPmNEfAH0h6,https://api.spotify.com/v1/audio-analysis/288e3FhmVuCqPmNEfAH0h6,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Drips,The Eminem Show,2002,Eminem,Obie Trice,9,20,1,285640,57,0.813,0.687,8,-4.85,1,0.298,0.0346,0,0.0878,0.666,83.944,audio_features,7io19rjxOFu3pGuZgBI6Pk,spotify:track:7io19rjxOFu3pGuZgBI6Pk,https://api.spotify.com/v1/tracks/7io19rjxOFu3pGuZgBI6Pk,https://api.spotify.com/v1/audio-analysis/7io19rjxOFu3pGuZgBI6Pk,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Without Me,The Eminem Show,2002,Eminem,,10,20,1,290320,84,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Paul Rosenberg - Skit,The Eminem Show,2002,Eminem,,11,20,1,22747,8,0.74,0.266,1,-17.222,1,0.947,0.986,0,0.508,0.963,70.633,audio_features,0EgkVzDidmq4MP57jZFeik,spotify:track:0EgkVzDidmq4MP57jZFeik,https://api.spotify.com/v1/tracks/0EgkVzDidmq4MP57jZFeik,https://api.spotify.com/v1/audio-analysis/0EgkVzDidmq4MP57jZFeik,3,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Sing For The Moment,The Eminem Show,2002,Eminem,,12,20,1,339547,72,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05E-06,0.0426,0.185,163.961,audio_features,3CpoeW0cZSDzIRv5z34F87,spotify:track:3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/audio-analysis/3CpoeW0cZSDzIRv5z34F87,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Superman,The Eminem Show,2002,Eminem,Dina Rae,13,20,1,350320,73,0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,audio_features,4woTEX1wYOTGDqNXuavlRC,spotify:track:4woTEX1wYOTGDqNXuavlRC,https://api.spotify.com/v1/tracks/4woTEX1wYOTGDqNXuavlRC,https://api.spotify.com/v1/audio-analysis/4woTEX1wYOTGDqNXuavlRC,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Hailie's Song,The Eminem Show,2002,Eminem,,14,20,1,320640,64,0.787,0.731,7,-3.295,1,0.156,0.0168,8.7E-05,0.0839,0.511,80.98,audio_features,6Db8IlZ7YY1pfIjJllejyH,spotify:track:6Db8IlZ7YY1pfIjJllejyH,https://api.spotify.com/v1/tracks/6Db8IlZ7YY1pfIjJllejyH,https://api.spotify.com/v1/audio-analysis/6Db8IlZ7YY1pfIjJllejyH,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Steve Berman - Skit,The Eminem Show,2002,Eminem,,15,20,1,33107,50,0.682,0.0987,1,-22.723,1,0.612,0.133,0,0.105,0.396,100.247,audio_features,5ZxX55HFfi4aofGTxMp58x,spotify:track:5ZxX55HFfi4aofGTxMp58x,https://api.spotify.com/v1/tracks/5ZxX55HFfi4aofGTxMp58x,https://api.spotify.com/v1/audio-analysis/5ZxX55HFfi4aofGTxMp58x,5,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
When The Music Stops,The Eminem Show,2002,Eminem,D12,16,20,1,269013,61,0.722,0.553,8,-3.578,0,0.118,0.0455,0,0.08,0.093,92.996,audio_features,73qINA7ccO03wxD8nsJalr,spotify:track:73qINA7ccO03wxD8nsJalr,https://api.spotify.com/v1/tracks/73qINA7ccO03wxD8nsJalr,https://api.spotify.com/v1/audio-analysis/73qINA7ccO03wxD8nsJalr,3,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Say What You Say,The Eminem Show,2002,Eminem,Dr. Dre,17,20,1,309893,57,0.89,0.541,2,-3.672,1,0.418,0.179,0,0.167,0.428,113.411,audio_features,4EQkcrSLF3QdlwNca7sMXY,spotify:track:4EQkcrSLF3QdlwNca7sMXY,https://api.spotify.com/v1/tracks/4EQkcrSLF3QdlwNca7sMXY,https://api.spotify.com/v1/audio-analysis/4EQkcrSLF3QdlwNca7sMXY,5,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
'Till I Collapse,The Eminem Show,2002,Eminem,Nate Dogg,18,20,1,297787,84,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,audio_features,4xkOaSrkexMciUUogZKVTS,spotify:track:4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
My Dad's Gone Crazy,The Eminem Show,2002,Eminem,Hailie Jade,19,20,1,267013,61,0.73,0.698,7,-5.089,1,0.508,0.0986,0,0.322,0.711,176.146,audio_features,3F14hbIqy1JKKLTb1mzdYV,spotify:track:3F14hbIqy1JKKLTb1mzdYV,https://api.spotify.com/v1/tracks/3F14hbIqy1JKKLTb1mzdYV,https://api.spotify.com/v1/audio-analysis/3F14hbIqy1JKKLTb1mzdYV,4,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Curtains Close,The Eminem Show,2002,Eminem,,20,20,1,61867,50,0.572,0.412,11,-20.224,1,0.54,0.518,0.00026,0.334,0.685,99.314,audio_features,51LeDAMy6nWqKdjVo7jK4j,spotify:track:51LeDAMy6nWqKdjVo7jK4j,https://api.spotify.com/v1/tracks/51LeDAMy6nWqKdjVo7jK4j,https://api.spotify.com/v1/audio-analysis/51LeDAMy6nWqKdjVo7jK4j,3,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Intro,An Awesome Wave,2012,alt-J,,1,14,0,157813,47,0.583,0.8,11,-8.505,0,0.0349,0.444,0.843,0.201,0.253,144.024,audio_features,3Hbd6gPZ0QErPWXVkC6GRt,spotify:track:3Hbd6gPZ0QErPWXVkC6GRt,https://api.spotify.com/v1/tracks/3Hbd6gPZ0QErPWXVkC6GRt,https://api.spotify.com/v1/audio-analysis/3Hbd6gPZ0QErPWXVkC6GRt,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
Interlude 1,An Awesome Wave,2012,alt-J,,2,14,0,72080,46,0.613,0.128,2,-13.851,1,0.464,0.872,0,0.1,0.321,179.205,audio_features,6EVbOYrewYsrt8AGyZodyh,spotify:track:6EVbOYrewYsrt8AGyZodyh,https://api.spotify.com/v1/tracks/6EVbOYrewYsrt8AGyZodyh,https://api.spotify.com/v1/audio-analysis/6EVbOYrewYsrt8AGyZodyh,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
Tessellate,An Awesome Wave,2012,alt-J,,3,14,0,181400,58,0.702,0.607,2,-6.509,1,0.0405,0.364,0.0263,0.123,0.436,116.961,audio_features,1o22EcqsCANhwYdaNOSdwS,spotify:track:1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/tracks/1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/audio-analysis/1o22EcqsCANhwYdaNOSdwS,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
Breezeblocks,An Awesome Wave,2012,alt-J,,4,14,0,227080,74,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,audio_features,3n69hLUdIsSa1WlRmjMZlW,spotify:track:3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/tracks/3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
Interlude 2,An Awesome Wave,2012,alt-J,,5,14,0,77400,47,0.484,0.0881,9,-27.743,1,0.0412,0.961,0.967,0.373,0.363,116.116,audio_features,5bp6twky1rHu72giADl7Mv,spotify:track:5bp6twky1rHu72giADl7Mv,https://api.spotify.com/v1/tracks/5bp6twky1rHu72giADl7Mv,https://api.spotify.com/v1/audio-analysis/5bp6twky1rHu72giADl7Mv,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
Something Good,An Awesome Wave,2012,alt-J,,6,14,0,217320,55,0.682,0.581,7,-10.339,1,0.0295,0.714,0.324,0.0802,0.539,108.981,audio_features,3xqxETvPg43KWP0HOGiOmu,spotify:track:3xqxETvPg43KWP0HOGiOmu,https://api.spotify.com/v1/tracks/3xqxETvPg43KWP0HOGiOmu,https://api.spotify.com/v1/audio-analysis/3xqxETvPg43KWP0HOGiOmu,4,https://i.scdn.co/image/ab67616d0000b27369592e88bb29d610a35118f8
