<<<<<<< HEAD
,abstract hip hop,acid rock,acoustic pop,acoustic rock,adult standards,african electronic,afrofuturism,ai,alabama indie,album rock,albuquerque indie,alt z,alternative americana,alternative country,alternative dance,alternative emo,alternative hip hop,alternative metal,alternative pop,alternative pop rock,alternative r&b,alternative rock,ambient,ambient folk,ambient pop,american post-rock,anthem emo,anti-folk,art pop,art punk,art rock,asbury park indie,athens indie,atl hip hop,atl trap,atlanta indie,atlanta metal,atmospheric black metal,atmospheric doom,auckland indie,austindie,australian alternative rock,australian dance,australian electropop,australian garage punk,australian indie,australian indie folk,australian pop,australian psych,australian r&b,australian reggae fusion,australian rock,avant-garde jazz,balearic,baltimore indie,barbadian pop,baroque pop,bass music,bay area indie,bboy,beatlesque,bebop,big beat,birmingham grime,birmingham metal,bitpop,black metal,blackgaze,blues rock,bmore,boston hardcore,boston rock,bow pop,boy band,braindance,brazilian indie,brighton indie,brill building pop,bristol electronic,bristol indie,british contemporary classical,british folk,british invasion,british jazz,british post-rock,british singer-songwriter,british soul,british soundtrack,britpop,brooklyn indie,brostep,bubblegrunge,c86,calgary indie,canadian contemporary r&b,canadian electronic,canadian electropop,canadian experimental,canadian hardcore,canadian hip hop,canadian indie,canadian indie folk,canadian metal,canadian modern jazz,canadian pop,canadian pop punk,canadian post-punk,canadian post-rock,canadian punk,canadian rock,canadian singer-songwriter,candy pop,cascadian black metal,chamber pop,chamber psych,chaotic hardcore,chicago hardcore,chicago indie,chicago punk,chicago rap,chicago soul,chillwave,cinematic post-rock,classic canadian rock,classic dubstep,classic rock,classic soul,cleveland indie,collage pop,colombian pop,comedy rap,comedy rock,comic,comic metal,complextro,compositional ambient,conscious hip hop,contemporary country,contemporary jazz,cool jazz,cosmic american,cosmic post-rock,country,country dawn,country road,country rock,cyberpunk,dance pop,dance rock,dance-punk,danish alternative rock,danish post-punk,dark jazz,dark trap,death industrial,death metal,deconstructed club,deep gothic post-punk,deep house,deep new americana,denton tx indie,detroit hip hop,detroit rock,digital hardcore,dirty south rap,djent,doo-wop,doom metal,double drumming,downtempo,dream pop,dreamo,drift,drill,drone,drone metal,drum and bass,dub techno,duluth indie,dunedin indie,early us punk,east coast hip hop,eau claire indie,edm,edmonton indie,el paso indie,electra,electric blues,electro,electro house,electro-pop francais,electroclash,electronic rock,electronica,electropop,elephant 6,emo,emo rap,english indie rock,escape room,essex indie,ethereal wave,etherpop,eugene indie,europop,experimental,experimental ambient,experimental folk,experimental hip hop,experimental pop,experimental psych,experimental r&b,experimental rock,experimental vocal,filter house,float house,fluxwork,folk,folk punk,folk rock,folk-pop,folktronica,footwork,fourth world,freak folk,free improvisation,free jazz,french indie pop,french psychedelic,french shoegaze,french synthpop,funk,funk metal,funk rock,future bass,future garage,g funk,gaian doom,gainesville indie,gangster rap,garage pop,garage psych,garage rock,garage rock revival,gauze pop,german soundtrack,glam metal,glam rock,glitch,glitch hop,glitch pop,glitchcore,gothenburg indie,gothic metal,grand rapids indie,grave wave,grime,grunge,hard bop,hard rock,hardcore hip hop,hardcore punk,hauntology,heartland rock,hip hop,hip house,hip pop,hopebeat,house,hyperpop,icelandic rock,idaho indie,indiana hip hop,indie folk,indie garage rock,indie jazz,indie pop,indie poptimism,indie punk,indie rock,indie soul,indie surf,indiecoustica,indietronica,industrial,industrial hip hop,industrial metal,industrial rock,instrumental grime,instrumental math rock,instrumental post-rock,intelligent dance music,irish indie rock,irish rock,irish singer-songwriter,j-punk,jacksonville indie,jam band,japanese electropop,japanese girl punk,japanese pop punk,japanese punk rock,japanoise,jazz,jazz blues,jazz funk,jazz fusion,jazz rap,jazz saxophone,jazz trumpet,jazztronica,kentucky roots,kiwi rock,la indie,la pop,latin,latin afrobeat,latin alternative,latin rock,leeds indie,leicester indie,lgbtq+ hip hop,lilith,lo-fi,lo-fi emo,lo-fi indie,louisville indie,lounge,lund indie,madchester,mandible,math rock,mathcore,melancholia,melbourne indie,mellow gold,melodic hardcore,melodic metalcore,melodic rap,memphis soul,merseybeat,metal,metalcore,metropopolis,mexican rock,miami hip hop,microhouse,midwest emo,milwaukee hip hop,minecraft,minimal dubstep,minimal techno,minneapolis sound,minnesota hip hop,mississippi hip hop,modern alternative rock,modern blues,modern blues rock,modern dream pop,modern folk rock,modern hard rock,modern jangle pop,modern power pop,modern rock,moombahton,motown,musique traditionnelle congolaise,nashville singer-songwriter,neo classical metal,neo mellow,neo soul,neo-classical,neo-progressive,neo-psychedelic,neo-synthpop,neoclassical darkwave,new americana,new england emo,new isolationism,new jersey hardcore,new jersey indie,new jersey punk,new jersey rap,new rave,new romantic,new wave,new wave pop,new weird america,newcastle indie,ninja,nintendocore,no wave,noise pop,noise rock,noisecore,nordic post-rock,north carolina hip hop,northern irish indie,northern soul,norwegian experimental,norwegian space disco,nottingham indie,nova mpb,nova musica paulista,nu disco,nu gaze,nu jazz,nu metal,nwobhm,nz folk,nz indie,nz pop,nz singer-songwriter,oakland indie,oc indie,ohio hip hop,okc indie,old school hip hop,old school thrash,olympia wa indie,one-person band,orgcore,outlaw country,outsider house,oxford indie,pagan black metal,palm desert scene,parody,permanent wave,philly indie,philly rap,phonk,piano rock,pittsburgh rap,pixie,polish black metal,polish death metal,polish metal,polish prog,political hip hop,pop,pop dance,pop emo,pop punk,pop rap,pop rock,pop soul,popgaze,portland hip hop,portland indie,portland metal,post-doom metal,post-grunge,post-hardcore,post-metal,post-punk,post-rock,post-teen pop,prog metal,progressive bluegrass,progressive death metal,progressive doom,progressive electro house,progressive groove metal,progressive house,progressive jazz fusion,progressive metal,progressive post-hardcore,progressive rock,progressive sludge,protopunk,psychedelic hip hop,psychedelic pop,psychedelic punk,psychedelic rock,psychedelic soul,punk,punk blues,quebec indie,queens hip hop,quiet storm,r&b,rap,rap metal,rap rock,reading indie,reggae,rhode island indie,riot grrrl,rock,rock en espanol,rock independant francais,rock-and-roll,rockabilly,roots reggae,roots rock,rva indie,sacramento indie,saskatchewan indie,scandipop,scottish electronic,scottish hip hop,scottish indie,scottish rock,screamo,seattle hip hop,seattle indie,sheffield indie,shimmer pop,shiver pop,shoegaze,singer-songwriter,skate punk,slam poetry,slap house,slowcore,sludge metal,small room,socal pop punk,soft rock,soul,soundtrack,south dakota indie,southern hip hop,southern rock,southern soul,stomp and holler,stomp pop,stoner metal,stoner rock,sunshine pop,supergroup,swamp rock,swedish americana,swedish country,swedish electropop,swedish indie pop,swedish metal,swedish pop,swedish progressive metal,swedish singer-songwriter,swedish synth,swedish synthpop,sydney indie,symphonic rock,synth funk,synthpop,tape club,tennessee hip hop,texas country,thrash metal,toronto indie,toronto rap,transpop,trap,trap queen,trip hop,tropical house,turntablism,twee pop,uk alternative hip hop,uk alternative pop,uk americana,uk dance,uk doom metal,uk experimental electronic,uk metalcore,uk noise rock,uk pop,uk post-punk revival,underground hip hop,underground rap,urban contemporary,usbm,vancouver indie,vancouver punk,vapor soul,vaporwave,viral pop,virginia hip hop,vocal jazz,vogue,warm drone,washington indie,welsh rock,west coast rap,wisconsin indie,wonky,worcester ma indie,yacht rock,zolo,unknown
2010s,56,0,40,34,0,10,257,23,22,164,19,29,76,155,837,177,579,294,10,30,265,1250,167,29,37,6,30,238,1774,37,531,12,12,165,21,66,37,25,6,10,57,39,96,59,70,162,12,27,103,18,13,0,8,12,110,16,375,51,96,0,30,0,10,12,12,12,15,33,173,16,17,12,17,71,12,9,33,47,7,24,17,47,12,18,9,55,55,17,190,257,12,135,10,9,71,23,38,24,18,48,186,10,30,11,155,20,25,8,47,37,60,80,6,588,384,17,12,51,12,156,0,784,6,39,20,311,0,15,125,15,0,0,0,0,12,137,372,75,48,0,0,9,23,61,23,78,17,626,123,553,12,12,19,25,11,9,74,10,12,42,92,81,24,12,48,11,0,12,111,154,915,31,31,25,118,6,15,8,11,9,0,88,40,97,53,10,151,11,44,49,20,13,69,582,676,20,143,11,12,1164,30,17,49,12,23,101,8,31,226,500,21,67,123,10,78,8,83,157,82,128,31,41,23,103,1395,8,8,11,7,29,22,65,13,13,23,54,14,16,10,144,44,257,263,47,23,29,0,41,35,35,26,10,18,9,14,111,25,53,0,128,43,30,82,104,1203,16,52,10,30,166,17,20,15,837,198,75,1645,73,241,2814,372,110,12,383,54,130,17,54,12,12,14,225,11,28,23,11,11,21,24,11,11,11,12,39,0,22,0,16,39,0,47,29,58,163,10,10,9,10,10,30,24,89,116,162,12,42,10,0,10,24,12,12,27,341,39,158,62,14,21,0,0,105,31,443,10,36,172,19,10,24,11,19,0,11,22,805,11,176,181,128,27,10,71,2243,12,0,10,39,11,140,239,18,10,436,189,11,220,19,32,10,101,10,0,866,17,38,17,58,21,24,12,37,375,118,12,17,13,9,0,28,12,29,9,9,23,568,26,180,11,9,10,35,9,10,34,17,10,0,12,10,13,23,70,84,85,15,18,0,714,98,27,18,91,31,28,9,9,9,10,132,1259,49,28,137,309,367,49,15,31,10,6,17,45,57,25,55,124,500,10,10,12,9,12,37,37,24,89,29,115,47,9,85,31,10,59,41,56,181,58,16,0,164,1020,47,12,7,0,10,10,1945,10,0,0,0,0,236,9,32,10,23,17,12,60,103,28,24,57,57,285,36,208,343,33,47,45,41,47,83,11,40,44,79,9,160,11,0,867,25,61,36,38,31,0,59,20,65,29,12,42,12,29,10,23,9,104,0,17,60,14,38,12,49,48,20,178,37,76,13,0,22,10,151,14,30,12,35,14,9,90,9,378,15,78,25,42,7,12,53,10,25,0,11,24,32,40,84,8,103,9,0,0,0
Rolling_Stones,0,11,0,0,94,0,14,0,0,162,0,0,0,12,0,0,26,0,0,0,15,93,0,0,0,0,0,0,12,30,155,0,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,12,84,4,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,0,0,0,0,155,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,0,0,0,0,0,43,0,0,0,0,0,0,0,0,32,23,0,0,43,0,502,57,0,0,0,0,0,0,0,0,0,83,0,0,32,23,0,0,0,0,73,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,36,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,190,0,0,0,0,0,0,4,0,0,0,0,149,0,37,0,0,16,0,0,114,0,0,21,0,0,0,11,28,0,0,0,0,0,0,0,0,0,13,28,96,98,0,0,53,243,0,30,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,32,25,0,28,14,4,28,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,0,0,0,0,0,32,0,247,0,0,0,25,84,50,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,62,0,0,0,0,0,12,0,0,0,0,0,15,0,0,12,12,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,40,50,0,0,0,12,0,23,0,0,0,270,0,0,0,12,0,0,0,0,0,0,15,85,0,0,0,48,25,0,0,0,0,0,0,0,0,0,33,0,34,0,0,0,0,0,0,0,0,0,0,10,0,48,0,0,0,165,0,99,21,0,24,46,77,246,0,0,0,46,0,0,671,0,0,27,27,46,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,49,0,0,0,0,0,0,112,238,0,0,36,0,25,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,0,50,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,15,19,0,0,0,0,45,0,0,0,53,12,0
Mine,47,0,0,0,12,0,0,0,0,90,0,0,0,0,20,0,311,15,0,0,0,32,0,0,0,0,0,0,0,0,58,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,33,0,0,0,0,0,18,0,0,0,0,0,38,0,0,0,10,0,0,0,0,12,0,0,0,0,25,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,109,0,0,0,0,20,15,15,15,0,0,161,0,0,0,0,0,0,0,0,59,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,41,0,0,36,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,60,10,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,57,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,27,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,45,0,0,23,356,0,0,0,0,0,0,0,0,23,0,0,70,0,0,94,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,75,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,90,0,10,0,0,0,0,0,0,0,106,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,11,0,0,0,0,0,52,48,0,0,87,153,68,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,22,0,0,28,0,54,10,0,10,0,0,278,0,0,0,0,0,0,179,0,10,12,12,0,76,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,30,0,0,0,0,0,0,76,31,0,0,0,36,19,0,29,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21,36,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,12,0,0,0,18
Totals,103,11,40,34,106,10,271,23,22,416,19,29,76,167,857,177,916,309,10,30,280,1375,167,29,37,6,30,238,1786,67,744,12,24,250,21,66,37,25,6,10,57,39,96,59,70,162,12,27,116,18,13,10,8,12,110,16,420,51,96,12,114,4,28,12,12,12,15,33,261,16,17,12,27,71,12,9,33,89,7,24,17,47,192,18,9,55,73,17,203,257,12,135,10,9,71,23,38,24,18,66,186,10,30,11,186,20,25,8,47,37,103,80,6,588,384,17,12,51,12,254,23,784,6,82,20,922,57,15,125,15,20,15,15,15,12,137,616,75,48,32,23,9,23,61,23,210,17,665,135,573,12,12,19,25,11,9,74,10,12,42,92,122,45,12,120,11,12,12,127,154,926,31,31,25,118,6,15,8,11,9,49,248,50,97,53,10,151,11,44,49,20,13,69,600,676,20,143,11,12,1260,30,17,49,12,23,101,8,31,226,500,21,67,123,10,78,8,83,314,82,375,31,41,23,103,1395,8,12,11,7,29,22,214,29,66,23,54,30,16,10,285,44,257,284,47,34,29,11,69,35,35,26,10,18,9,14,111,25,66,28,280,186,30,82,180,1802,16,82,10,30,166,17,20,15,872,198,75,1715,73,241,2908,372,110,12,404,54,130,17,54,12,12,14,225,11,28,23,11,11,44,24,11,11,11,12,71,25,22,28,30,43,28,65,29,58,163,10,10,9,10,10,30,24,104,138,162,12,42,10,12,10,24,12,12,27,383,39,480,62,14,21,25,84,155,42,455,10,36,172,19,10,24,11,19,25,101,22,815,11,176,181,128,27,10,71,2349,12,145,10,39,11,151,301,18,10,449,189,11,232,19,32,10,101,10,15,886,17,50,29,58,21,24,12,37,386,118,12,17,13,9,9,28,12,29,9,9,23,579,44,180,11,9,10,35,9,10,34,49,10,40,62,10,13,23,82,84,108,15,18,15,1000,98,27,18,103,42,28,9,9,9,10,199,1392,49,28,224,510,460,49,15,31,10,6,17,45,57,25,88,124,559,10,10,12,9,12,37,37,24,89,29,150,47,57,107,31,10,252,41,209,212,58,50,46,241,1544,47,12,7,46,10,10,2795,10,10,39,39,46,455,9,32,10,23,17,12,60,103,39,24,57,57,285,47,219,525,82,47,45,41,47,83,87,183,282,79,9,232,30,25,896,25,61,36,38,31,42,59,20,65,29,12,42,12,29,10,23,9,139,25,17,60,14,38,62,49,66,20,178,37,76,13,30,22,10,151,14,30,12,35,14,9,90,9,399,51,122,25,42,7,12,53,10,40,19,11,24,58,53,129,8,115,9,53,12,18
=======
Index,1884672,2032655,447071,6238333,6353141,802246,abstract hip hop,acid rock,acoustic pop,acoustic rock,adult standards,african electronic,afrofuturism,ai,alabama indie,album rock,albuquerque indie,alt z,alternative americana,alternative country,alternative dance,alternative emo,alternative hip hop,alternative metal,alternative pop,alternative pop rock,alternative r&b,alternative rock,ambient,ambient folk,ambient pop,american post-rock,anthem emo,anti-folk,art pop,art punk,art rock,asbury park indie,athens indie,atl hip hop,atl trap,atlanta indie,atlanta metal,atmospheric black metal,atmospheric doom,auckland indie,austindie,australian alternative rock,australian dance,australian electropop,australian garage punk,australian indie,australian indie folk,australian pop,australian psych,australian r&b,australian reggae fusion,australian rock,avant-garde jazz,balearic,baltimore indie,barbadian pop,baroque pop,bass music,bay area indie,bboy,beatlesque,bebop,big beat,birmingham grime,birmingham metal,bitpop,black metal,blackgaze,blues rock,bmore,boston hardcore,boston rock,bow pop,boy band,braindance,brazilian indie,brighton indie,brill building pop,bristol electronic,bristol indie,british contemporary classical,british folk,british invasion,british jazz,british post-rock,british singer-songwriter,british soul,british soundtrack,britpop,brooklyn indie,brostep,bubblegrunge,c86,calgary indie,canadian contemporary r&b,canadian electronic,canadian electropop,canadian experimental,canadian hardcore,canadian hip hop,canadian indie,canadian indie folk,canadian metal,canadian modern jazz,canadian pop,canadian pop punk,canadian post-punk,canadian post-rock,canadian punk,canadian rock,canadian singer-songwriter,candy pop,cascadian black metal,chamber pop,chamber psych,chaotic hardcore,chicago hardcore,chicago indie,chicago punk,chicago rap,chicago soul,chillwave,cinematic post-rock,classic canadian rock,classic dubstep,classic rock,classic soul,cleveland indie,collage pop,colombian pop,comedy rap,comedy rock,comic,comic metal,complextro,compositional ambient,conscious hip hop,contemporary country,contemporary jazz,cool jazz,cosmic american,cosmic post-rock,country,country dawn,country road,country rock,cyberpunk,dance pop,dance rock,dance-punk,danish alternative rock,danish post-punk,dark jazz,dark trap,death industrial,death metal,deconstructed club,deep gothic post-punk,deep house,deep new americana,denton tx indie,detroit hip hop,detroit rock,digital hardcore,dirty south rap,disco,djent,doo-wop,doom metal,double drumming,downtempo,dream pop,dreamo,drift,drill,drone,drone metal,drum and bass,dub techno,duluth indie,dunedin indie,early us punk,east coast hip hop,eau claire indie,edm,edmonton indie,el paso indie,electra,electric blues,electro,electro house,electro-pop francais,electroclash,electronic rock,electronica,electropop,elephant 6,emo,emo rap,english indie rock,escape room,essex indie,ethereal wave,etherpop,eugene indie,europop,experimental,experimental ambient,experimental folk,experimental hip hop,experimental pop,experimental psych,experimental r&b,experimental rock,experimental vocal,filter house,float house,fluxwork,folk,folk punk,folk rock,folk-pop,folktronica,footwork,fourth world,freak folk,free improvisation,free jazz,french indie pop,french psychedelic,french shoegaze,french synthpop,funk,funk metal,funk rock,future bass,future garage,g funk,gaian doom,gainesville indie,gangster rap,garage pop,garage psych,garage rock,garage rock revival,gauze pop,german soundtrack,glam metal,glam rock,glitch,glitch hop,glitch pop,glitchcore,gothenburg indie,gothic metal,grand rapids indie,grave wave,grime,grunge,hard bop,hard rock,hardcore hip hop,hardcore punk,hauntology,heartland rock,hip hop,hip house,hip pop,hopebeat,house,https://open.spotify.com/artist/1co4F2pPNH8JjTutZkmgSm,hyperpop,icelandic rock,idaho indie,indiana hip hop,indie folk,indie garage rock,indie jazz,indie pop,indie poptimism,indie punk,indie r&b,indie rock,indie soul,indie surf,indiecoustica,indietronica,industrial,industrial hip hop,industrial metal,industrial rock,instrumental grime,instrumental math rock,instrumental post-rock,intelligent dance music,irish indie rock,irish rock,irish singer-songwriter,j-punk,jacksonville indie,jam band,japanese electropop,japanese girl punk,japanese pop punk,japanese punk rock,japanoise,jazz,jazz blues,jazz funk,jazz fusion,jazz rap,jazz saxophone,jazz trumpet,jazztronica,kentucky roots,kiwi rock,la indie,la pop,latin,latin afrobeat,latin alternative,latin rock,leeds indie,leicester indie,lgbtq+ hip hop,lilith,lo-fi,lo-fi emo,lo-fi indie,louisville indie,lounge,lund indie,madchester,mandible,math rock,mathcore,melancholia,melbourne indie,mellow gold,melodic hardcore,melodic metalcore,melodic rap,memphis soul,merseybeat,metal,metalcore,metropopolis,mexican rock,miami hip hop,microhouse,midwest emo,milwaukee hip hop,minecraft,minimal dubstep,minimal techno,minneapolis sound,minnesota hip hop,mississippi hip hop,modern alternative rock,modern blues,modern blues rock,modern dream pop,modern folk rock,modern hard rock,modern jangle pop,modern power pop,modern rock,moombahton,motown,musique traditionnelle congolaise,nashville singer-songwriter,neo classical metal,neo mellow,neo soul,neo-classical,neo-progressive,neo-psychedelic,neo-synthpop,neoclassical darkwave,new americana,new england emo,new isolationism,new jersey hardcore,new jersey indie,new jersey punk,new jersey rap,new rave,new romantic,new wave,new wave pop,new weird america,newcastle indie,ninja,nintendocore,no wave,noise pop,noise rock,noisecore,nordic post-rock,north carolina hip hop,northern irish indie,northern soul,norwegian experimental,norwegian space disco,nottingham indie,nova mpb,nova musica paulista,nu disco,nu gaze,nu jazz,nu metal,nwobhm,nz folk,nz indie,nz pop,nz singer-songwriter,oakland indie,oc indie,ohio hip hop,okc indie,old school hip hop,old school thrash,olympia wa indie,one-person band,orgcore,outlaw country,outsider house,oxford indie,pagan black metal,palm desert scene,parody,permanent wave,philly indie,philly rap,phonk,piano rock,pittsburgh rap,pixie,polish black metal,polish death metal,polish metal,polish prog,political hip hop,pop,pop dance,pop emo,pop punk,pop rap,pop rock,pop soul,popgaze,portland hip hop,portland indie,portland metal,post-doom metal,post-grunge,post-hardcore,post-metal,post-punk,post-rock,post-teen pop,prog metal,progressive bluegrass,progressive death metal,progressive doom,progressive electro house,progressive groove metal,progressive house,progressive jazz fusion,progressive metal,progressive post-hardcore,progressive rock,progressive sludge,protopunk,psychedelic hip hop,psychedelic pop,psychedelic punk,psychedelic rock,psychedelic soul,punk,punk blues,quebec indie,queens hip hop,quiet storm,r&b,rap,rap metal,rap rock,reading indie,reggae,rhode island indie,riot grrrl,rock,rock en espanol,rock independant francais,rock-and-roll,rockabilly,roots reggae,roots rock,rva indie,sacramento indie,saskatchewan indie,scandipop,scottish electronic,scottish hip hop,scottish indie,scottish rock,screamo,seattle hip hop,seattle indie,sheffield indie,shimmer pop,shiver pop,shoegaze,singer-songwriter,skate punk,slam poetry,slap house,slowcore,sludge metal,small room,socal pop punk,soft rock,soul,soundtrack,south dakota indie,southern hip hop,southern rock,southern soul,stomp and holler,stomp pop,stoner metal,stoner rock,sunshine pop,supergroup,swamp rock,swedish americana,swedish country,swedish electropop,swedish indie pop,swedish metal,swedish pop,swedish progressive metal,swedish singer-songwriter,swedish synth,swedish synthpop,sydney indie,symphonic rock,synth funk,synthpop,tape club,tennessee hip hop,texas country,thrash metal,toronto indie,toronto rap,transpop,trap,trap queen,trip hop,tropical house,turntablism,twee pop,uk alternative hip hop,uk alternative pop,uk americana,uk dance,uk doom metal,uk experimental electronic,uk metalcore,uk noise rock,uk pop,uk post-punk revival,underground hip hop,underground rap,urban contemporary,usbm,vancouver indie,vancouver punk,vapor soul,vaporwave,viral pop,virginia hip hop,vocal jazz,vogue,warm drone,washington indie,welsh rock,west coast rap,wisconsin indie,wonky,worcester ma indie,yacht rock,zolo,unknown
2010s,0,0,0,0,0,0,56,0,40,34,0,10,257,23,22,164,19,29,76,155,837,177,579,294,10,30,265,1250,167,29,37,6,30,238,1774,37,531,12,12,165,21,66,37,25,6,10,57,39,96,59,70,162,12,27,103,18,13,0,8,12,110,16,375,51,96,0,30,0,10,12,12,12,15,33,173,16,17,12,17,71,12,9,33,47,7,24,17,47,12,18,9,55,55,17,190,257,12,135,10,9,71,23,38,24,18,48,186,10,30,11,155,20,25,8,47,37,60,80,6,588,384,17,12,51,12,156,0,784,6,39,20,311,0,15,125,15,0,0,0,0,12,137,372,75,48,0,0,9,23,61,23,78,17,626,123,553,12,12,19,25,11,9,74,10,12,42,92,81,24,12,48,0,11,0,12,111,154,915,31,31,25,118,6,15,8,11,9,0,88,40,97,53,10,151,11,44,49,20,13,69,582,676,20,143,11,12,1164,30,17,49,12,23,101,8,31,226,500,21,67,123,10,78,8,83,157,82,128,31,41,23,103,1395,8,8,11,7,29,22,65,13,13,23,54,14,16,10,144,44,257,263,47,23,29,0,41,35,35,26,10,18,9,14,111,25,53,0,128,43,30,82,104,1203,16,52,10,30,0,166,17,20,15,837,198,75,1645,73,241,0,2814,372,110,12,383,54,130,17,54,12,12,14,225,11,28,23,11,11,21,24,11,11,11,12,39,0,22,0,16,39,0,47,29,58,163,10,10,9,10,10,30,24,89,116,162,12,42,10,0,10,24,12,12,27,341,39,158,62,14,21,0,0,105,31,443,10,36,172,19,10,24,11,19,0,11,22,805,11,176,181,128,27,10,71,2243,12,0,10,39,11,140,239,18,10,436,189,11,220,19,32,10,101,10,0,866,17,38,17,58,21,24,12,37,375,118,12,17,13,9,0,28,12,29,9,9,23,568,26,180,11,9,10,35,9,10,34,17,10,0,12,10,13,23,70,84,85,15,18,0,714,98,27,18,91,31,28,9,9,9,10,132,1259,49,28,137,309,367,49,15,31,10,6,17,45,57,25,55,124,500,10,10,12,9,12,37,37,24,89,29,115,47,9,85,31,10,59,41,56,181,58,16,0,164,1020,47,12,7,0,10,10,1945,10,0,0,0,0,236,9,32,10,23,17,12,60,103,28,24,57,57,285,36,208,343,33,47,45,41,47,83,11,40,44,79,9,160,11,0,867,25,61,36,38,31,0,59,20,65,29,12,42,12,29,10,23,9,104,0,17,60,14,38,12,49,48,20,178,37,76,13,0,22,10,151,14,30,12,35,14,9,90,9,378,15,78,25,42,7,12,53,10,25,0,11,24,32,40,84,8,103,9,0,0,0
